User ID,Friends Count,Groups Joined,Posts Per Week,Likes Received,Messages Sent,Login Frequency,Time Between Interactions (hours)
1,250,5,10,200,30,5,2
2,400,10,20,1500,50,7,1
3,10,1,40,50,600,6,0.5
4,500,15,5,1000,20,3,4
5,3,0,45,30,800,7,1
6,150,2,15,300,15,4,3
7,20,1,35,20,900,6,0.5
8,200,8,5,500,10,2,5
9,100,4,12,700,40,5,1
10,0,0,50,5,1000,7,1
11,300,7,8,600,25,4,2
12,5,0,60,10,1100,6,0.5
13,450,12,18,1200,35,3,2
14,1,0,30,15,950,5,1
15,350,9,14,800,20,6,3
16,220,6,12,180,35,6,2.5
17,390,11,19,1450,48,8,1.5
18,15,2,38,60,590,5,0.8
19,480,14,7,1100,22,4,3.8
20,8,1,43,45,850,8,1.2
21,180,3,16,320,12,5,2.7
22,35,1,33,18,920,7,0.7
23,210,9,8,540,9,3,4.5
24,95,5,13,720,38,6,1.3
25,5,0,48,10,980,8,0.9
26,310,8,10,640,23,5,2.4
27,10,1,56,25,1080,6,0.6
28,460,13,20,1250,33,4,1.8
29,2,0,28,12,960,6,1.1
30,340,10,15,850,18,7,2.9
31,280,7,11,720,27,4,2.1
32,15,1,44,50,580,8,0.4
33,450,12,17,1250,28,5,1.9
34,70,4,10,690,45,6,2.4
35,12,0,60,25,1100,5,0.7
36,510,16,14,1350,30,7,1.2
37,100,5,8,800,20,4,3.5
38,35,2,37,40,950,7,0.8
39,190,6,7,500,12,3,4.2
40,120,3,13,750,33,5,2.6
41,8,0,54,20,990,6,1
42,410,14,16,1200,25,4,1.9
43,3,0,42,35,850,6,0.9
44,60,2,9,700,40,6,2.5
45,350,9,18,900,15,7,3
46,20,1,48,55,920,5,0.6
47,400,11,22,1400,35,3,2.2
48,45,3,40,65,870,8,0.7
49,230,7,12,780,10,3,4.3
50,105,4,9,660,37,5,1.4
